index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 57 MiB
1, 1 %, 0 %, 265 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 2 %, 0 %, 679 MiB
1, 4 %, 0 %, 679 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 41 %, 7813 MiB
1, 98 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 44 %, 7813 MiB
1, 95 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 44 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 48 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 39 %, 7813 MiB
1, 94 %, 40 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 48 %, 7813 MiB
1, 96 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 48 %, 7813 MiB
1, 94 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 93 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 46 %, 7813 MiB
1, 93 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 95 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 50 %, 7813 MiB
1, 94 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7813 MiB
1, 96 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 96 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 50 %, 7813 MiB
1, 92 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7813 MiB
1, 92 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 49 %, 7813 MiB
1, 92 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7813 MiB
1, 93 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 95 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 50 %, 7813 MiB
1, 94 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 48 %, 7813 MiB
1, 92 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 92 %, 41 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 48 %, 7813 MiB
1, 89 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7813 MiB
1, 91 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 49 %, 7813 MiB
1, 92 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 92 %, 41 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 50 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 43 %, 7813 MiB
1, 95 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 46 %, 7813 MiB
1, 97 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 47 %, 7813 MiB
1, 94 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 42 %, 7813 MiB
1, 94 %, 40 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 50 %, 7813 MiB
1, 96 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 49 %, 7813 MiB
1, 95 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 40 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7813 MiB
1, 97 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 46 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 50 %, 7813 MiB
1, 95 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 46 %, 7813 MiB
1, 97 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 49 %, 7813 MiB
1, 92 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 41 %, 7813 MiB
1, 95 %, 41 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 96 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 52 %, 7813 MiB
1, 94 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 49 %, 7813 MiB
1, 94 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 92 %, 40 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 48 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 48 %, 7813 MiB
1, 96 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 50 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 43 %, 7813 MiB
1, 97 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 50 %, 7813 MiB
1, 95 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 45 %, 7813 MiB
1, 93 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 52 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 41 %, 7813 MiB
1, 93 %, 41 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 96 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 49 %, 7813 MiB
1, 95 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7813 MiB
1, 97 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7813 MiB
1, 95 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 93 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7813 MiB
1, 96 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 94 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 42 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 97 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 86 %, 46 %, 7813 MiB
1, 93 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 89 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 47 %, 7813 MiB
1, 95 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 90 %, 50 %, 7813 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7813 MiB
1, 96 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 46 %, 7813 MiB
1, 94 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 46 %, 7813 MiB
1, 96 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 48 %, 7813 MiB
1, 94 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 52 %, 7813 MiB
1, 94 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7813 MiB
1, 96 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7813 MiB
1, 92 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 43 %, 7813 MiB
1, 96 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 97 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7813 MiB
1, 92 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7813 MiB
1, 92 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 49 %, 7813 MiB
1, 93 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 93 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7813 MiB
1, 93 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 96 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 49 %, 7813 MiB
1, 94 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 42 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7813 MiB
1, 92 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7813 MiB
1, 97 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7813 MiB
1, 92 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 49 %, 7813 MiB
1, 95 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 93 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 48 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7813 MiB
1, 93 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 96 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7813 MiB
1, 94 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 49 %, 7813 MiB
1, 91 %, 48 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7813 MiB
1, 96 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 49 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 46 %, 7813 MiB
1, 97 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 49 %, 7813 MiB
1, 95 %, 47 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 45 %, 7813 MiB
1, 95 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7813 MiB
1, 96 %, 44 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7813 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7813 MiB
1, 92 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7813 MiB
1, 92 %, 42 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7813 MiB
1, 94 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7813 MiB
1, 93 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7813 MiB
1, 96 %, 49 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7813 MiB
1, 93 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7813 MiB
1, 95 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 94 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7813 MiB
1, 96 %, 43 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7813 MiB
1, 93 %, 51 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7813 MiB
1, 96 %, 45 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 50 %, 7813 MiB
1, 92 %, 50 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7813 MiB
